municipios,Total,Abacate,Algodão arbóreo (em caroço),Açaí,Azeitona,Banana (cacho),Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Caqui,Castanha de caju,Chá da índia (folha verde),Coco da baía*,Dendê (cacho de coco),Erva mate (folha verde),Figo,Goiaba,Guaraná (semente),Laranja,Limão,Maçã,Mamão,Manga,Maracujá,Marmelo,Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta do reino,Sisal ou agave (fibra),Tangerina,Tungue (fruto seco),Urucum (semente),Uva
Espinosa,240,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,16,1,0,0,41,3,0,0,0,0,0,0,0,12,0,0,0
Espírito Santo do Dourado,751,0,0,0,0,220,0,0,0,485,485,0,0,9,0,0,0,0,0,0,4,0,25,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,3
Estiva,72,5,0,0,0,6,0,0,0,2,2,0,0,3,0,0,0,0,0,1,2,0,0,2,40,0,0,0,0,0,0,5,1,0,0,3,0,0,2
Estrela Dalva,55,0,0,0,0,5,0,0,0,43,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Estrela do Indaiá,207,0,0,0,0,7,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estrela do Sul,2511,35,0,0,0,26,2,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,35,0,0,0,0,0,2,0,2,0,0,0
Eugenópolis,1750,0,0,0,0,27,0,0,0,1721,1700,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewbank da Câmara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extrema,31,0,0,0,25,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fama,1243,3,0,0,0,0,0,0,0,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faria Lemos,691,0,0,0,0,6,0,0,0,685,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felício dos Santos,614,0,0,0,0,5,0,0,0,297,297,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,300,0
São Gonçalo do Rio Preto,89,0,0,0,0,7,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,2,8,0,10,6,0,0,0,0,0,0,0,0,4,0,10,0
Felisburgo,24,0,0,0,0,8,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Felixlândia,29,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0
Fernandes Tourinho,107,1,0,0,0,2,97,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Ferros,74,0,0,0,0,25,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Fervedouro,3151,2,0,0,0,45,0,0,0,3100,3100,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florestal,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5
Formiga,2957,0,0,0,0,18,0,0,0,2785,2785,0,0,0,0,0,0,0,0,0,0,0,150,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Formoso,2290,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza de Minas,1503,0,0,0,0,2,0,0,0,1270,1270,0,0,0,0,0,0,0,0,45,1,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fortuna de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Badaró,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Dumont,324,0,0,0,0,14,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Sá,369,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,4,0,8,2,4,0,0,0,0,0,0,0,1,0,0,0
Franciscópolis,109,0,0,0,0,15,0,0,0,90,90,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frei Gaspar,76,0,0,0,0,18,0,0,0,43,30,13,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0
Frei Inocêncio,35,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Frei Lagonegro,162,0,0,0,0,7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
Fronteira,127,0,0,0,0,4,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fronteira dos Vales,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruta de Leite,18,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Frutal,6987,0,0,0,0,1,2300,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,4500,2,0,3,121,0,0,0,0,0,0,0,0,0,0,0,0
Funilândia,27,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Galiléia,47,0,0,0,0,1,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
