municipios,Bovino,Bubalino,Equino,Suíno - matrizes de suínos,Caprino,Ovino,Galináceos - galinhas,Codornas
Datas,1894,0,171,31,0,10,1400,0
Delfim Moreira,14113,48,728,111,55,95,2700,0
Delfinópolis,37697,181,1112,219,28,298,4250,0
Delta,3419,10,128,54,0,0,75500,25000
Descoberto,11867,0,177,27,9,103,7200,0
Desterro de Entre Rios,15063,0,1033,131,29,0,8000,0
Desterro do Melo,7772,278,257,81,132,86,5100,0
Diamantina,14750,63,832,162,40,57,8000,0
Diogo de Vasconcelos,5374,26,540,109,31,5,2550,0
Dionísio,11946,123,356,68,9,218,5650,0
Divinésia,5194,0,223,20,42,0,850,0
Divino,13773,0,559,221,43,53,6350,0
Divino das Laranjeiras,18444,36,737,51,147,218,1120,0
Divinolândia de Minas,4469,114,222,34,5,0,1800,0
Divinópolis,48364,561,2103,424,153,237,991500,240
Divisa Alegre,578,0,69,16,34,0,1000,0
Divisa Nova,12625,395,407,114,8,42,2600,0
Divisópolis,12548,0,1130,122,122,249,2600,0
Dom Bosco,37595,0,1016,217,12,145,4500,0
Dom Cavati,3563,0,157,44,39,41,1300,0
Dom Joaquim,14406,96,858,118,26,56,3200,0
Dom Silvério,8914,0,426,69,38,0,2100,0
Dom Viçoso,5695,9,284,42,25,55,800,0
Dona Euzébia,3768,0,117,12,18,0,300,0
Dores de Campos,2952,10,56,43,0,0,1200,0
Dores de Guanhães,17592,22,411,108,0,26,3200,0
Dores do Indaiá,72765,74,1847,209,0,0,7000,0
Dores do Turvo,11074,33,85,282,0,22,1300,0
Doresópolis,10384,1804,295,119,0,9,3000,0
Douradoquara,21360,0,401,90,0,25,2450,0
Durandé,5587,0,94,7,22,41,1200,0
Elói Mendes,31956,116,800,149,19,91,67400,0
Engenheiro Caldas,14385,22,826,73,42,77,1150,0
Engenheiro Navarro,24485,0,949,211,54,147,3300,0
Entre Folhas,4257,29,138,90,29,61,3000,0
Entre Rios de Minas,24086,69,1849,139,31,15,4000,0
Ervália,10743,0,929,329,343,72,7500,0
Esmeraldas,40282,472,4182,2015,82,974,113900,0
Espera Feliz,6865,0,176,211,86,75,5800,0
Espinosa,35617,0,1882,1138,1304,1191,25000,0
Espírito Santo do Dourado,14948,26,395,169,0,49,4500,0
Estiva,19882,21,405,218,69,54,3050,0
Estrela Dalva,10418,0,143,29,38,10,700,0
Estrela do Indaiá,43025,521,1295,262,9,404,4900,0
Estrela do Sul,53381,0,765,184,39,0,2800,0
Eugenópolis,20889,0,420,84,346,47,3066,0
Ewbank da Câmara,4260,27,133,13,0,18,590,0
Extrema,9421,26,474,110,81,249,3100,0
Fama,2296,0,96,46,0,30,1100,0
Faria Lemos,10795,22,124,734,35,155,875,0
Felício dos Santos,5313,0,415,168,17,0,7800,0
São Gonçalo do Rio Preto,2613,0,199,56,0,0,4000,0
Felisburgo,21011,4,1223,162,3,411,3600,0
Felixlândia,41911,0,1398,275,0,17,10000,0
Fernandes Tourinho,12670,0,273,29,42,24,1100,0
Ferros,35942,394,1992,197,13,968,7800,0
Fervedouro,13533,24,346,223,95,626,3400,0
Florestal,12708,162,937,1334,289,141,1400,0
Formiga,71234,422,1150,4380,69,139,78000,0
Formoso,32312,0,1182,401,45,479,8500,0
Fortaleza de Minas,11515,105,206,98,25,218,3200,0
Fortuna de Minas,11347,3047,540,1819,96,151,3000,750
Francisco Badaró,12407,0,1205,413,43,0,10450,0
Francisco Dumont,22942,23,1039,143,26,106,4500,0
Francisco Sá,95912,0,4726,858,222,641,23200,240
Franciscópolis,38288,0,1577,261,27,149,7000,0
Frei Gaspar,32590,14,1506,101,79,215,2650,0
Frei Inocêncio,32518,6,1075,75,25,161,3300,0
Frei Lagonegro,7022,15,268,109,0,0,3100,0
Fronteira,8074,0,198,111,0,31,3800,0
Fronteira dos Vales,18571,0,675,96,120,270,1400,0
Fruta de Leite,4526,0,639,211,22,8,4850,0
Frutal,172881,1026,2749,565,456,2327,15750,0
Funilândia,9020,35,490,42,17,279,3000,0
Galiléia,38574,0,1286,130,24,360,4500,0
Gameleiras,28939,0,1287,464,608,357,7200,0
Glaucilândia,8749,8,538,268,16,0,7500,240
Goiabeira,7276,0,273,37,0,46,700,0
Goianá,10784,0,358,31,227,58,1400,0
Gonçalves,9602,0,548,84,70,241,2600,0
Gonzaga,11760,57,324,113,0,0,2100,0
Gouveia,10169,15,629,83,0,70,4400,0
Governador Valadares,134931,88,6326,459,315,1076,16000,0
Grão Mogol,18924,37,1327,625,57,81,16250,39
Grupiara,10881,0,138,26,0,19,50,0
Guanhães,45013,2171,1261,327,25,31,13560,0
Guapé,31746,116,1655,516,115,144,11750,0
Guaraciaba,10750,6,791,419,211,53,9000,0
Guaraciama,6815,0,772,212,0,6,5100,9
Guaranésia,17012,34,865,125,31,86,3200,0
Guarani,18685,0,449,90,10,22,103550,0
Guarará,5869,0,210,145,0,35,920,0
Guarda-Mor,64599,32,1610,662,0,220,9890,0
Guaxupé,8279,21,655,100,27,351,3500,0
Guidoval,9875,0,400,12,4,0,1200,0
Guimarânia,26057,4,366,857,0,150,4600,0
Guiricema,24319,44,603,167,105,34,2400,0
Gurinhatã,192000,180,3350,445,160,1850,8250,0
Heliodora,9901,14,314,59,0,62,2050,0
Iapu,19998,459,493,68,42,83,3800,0
Ibertioga,18204,62,133,45,25,192,1500,0
Ibiá,92331,536,2695,318,9,227,7500,0
Ibiaí,24666,5,819,194,75,111,400,0
Ibiracatu,5803,0,433,204,149,14,6100,0
Ibiraci,16008,220,649,199,49,51,5700,0
Ibirité,610,100,87,11,0,26,525,0
Ibitiúra de Minas,2870,0,110,17,0,0,1080,0
Ibituruna,11771,51,234,15,0,22,400,0
Icaraí de Minas,37048,0,1332,545,35,29,17700,0
Igarapé,3273,3,148,44,0,0,12650,0
Igaratinga,22918,58,593,2071,24,15,65650,0
Iguatama,25950,2287,840,154,98,234,10500,0
Ijaci,6156,0,201,181,0,0,1350,0
Ilicínea,14293,0,843,277,0,64,10500,0
Imbé de Minas,5114,0,245,179,74,20,3500,100
Inconfidentes,10714,53,569,173,927,184,3000,0
Indaiabira,10100,0,532,303,0,78,12750,0
Indianópolis,11778,0,274,58,0,143,1300,0
Ingaí,15214,0,887,105,27,392,3300,0
Inhapim,41867,41,1731,552,546,412,16000,0
Inhaúma,17074,510,1650,64,17,252,2000,0
Inimutaba,19210,0,598,1094,12,103,3200,0
Ipaba,2525,0,182,13,6,144,7000,0
Ipanema,29586,0,1028,421,116,263,8950,0
Ipatinga,2247,141,222,29,3,56,800,0
Ipiaçu,30500,0,500,75,120,185,1450,0
Ipuiúna,16390,0,125,104,20,0,29400,0
Iraí de Minas,24999,12,382,199,0,206,5100,0
Itabira,33558,587,3164,154,66,70,12500,0
Itabirinha,12032,12,421,118,164,29,2550,0
Itabirito,4840,83,1016,104,151,119,3150,0
Itacambira,14767,35,955,134,71,11,6150,0
Itacarambi,24954,0,1171,215,142,149,4500,0
Itaguara,33047,127,647,521,0,291,5000,0
Itaipé,14579,0,576,204,297,100,5250,0
Itajubá,17857,9,1115,146,174,212,54600,0
Itamarandiba,30370,728,1830,448,53,181,20260,0
Itamarati de Minas,10504,0,205,2,0,19,1500,0
Itambacuri,84796,0,2980,294,76,551,11000,0
Itambé do Mato Dentro,9637,83,587,63,6,0,2450,0
Itamogi,3518,0,149,40,13,47,1500,0
Itamonte,14356,72,958,441,190,326,6500,35500
Itanhandu,11337,98,796,142,283,264,2944270,468000
Itanhomi,28852,0,849,212,90,48,2850,200
Itaobim,11486,0,1287,473,61,305,7200,0
Itapagipe,159468,147,2072,640,175,519,129550,0
Itapecerica,52498,294,1570,726,48,344,11000,2000
Itapeva,11828,34,290,46,83,132,1000,0
Itatiaiuçu,6982,44,389,20,31,88,1300,0
Itaú de Minas,5225,200,81,251,14,0,1650,0
Itaúna,35366,355,1312,1898,45,106,94650,10000
Itaverava,7565,30,288,26,101,96,2700,0
Itinga,30268,17,2071,476,221,551,9250,0
Itueta,18814,0,492,66,57,168,6500,0
Ituiutaba,186000,108,3250,4530,105,1950,16000,0
Itumirim,13054,2,304,129,22,211,3250,0
Iturama,102165,21,1458,283,236,913,3500,0
Itutinga,14846,0,522,80,0,0,3200,0
Jaboticatubas,16266,56,1551,253,100,378,8150,120
Jacinto,62434,0,2096,333,257,359,4300,0
Jacuí,19403,74,538,325,22,242,7500,0
Jacutinga,17644,6,590,237,75,791,1500,0
Jaguaraçu,4402,0,272,5,60,86,425,0
Jaíba,63284,0,3163,962,270,1060,20000,0
Jampruca,27332,0,1224,173,17,102,6300,0
Janaúba,79196,43,2418,1099,590,2050,15000,0
Januária,87526,107,4592,903,815,1407,42000,0
Japaraíba,12734,50,178,154,0,7,3650,0
Japonvar,10089,0,758,226,100,23,13600,0
Jeceaba,7044,0,360,98,49,0,5800,0
Jenipapo de Minas,7306,0,621,315,54,74,5950,0
Jequeri,26007,76,483,17226,51,96,8150,0
Jequitaí,50339,0,1231,216,12,76,5800,0
Jequitibá,14077,35,817,42,46,366,3900,0
Jequitinhonha,60529,64,3701,683,516,270,13500,0
Jesuânia,11992,10,341,19,13,0,2150,0
Joaíma,62688,0,3108,258,115,576,4850,0
Joanésia,12379,4,473,91,17,24,4100,0
João Monlevade,1646,0,239,20,16,0,380,0
João Pinheiro,226768,198,5701,2220,249,1040,37000,250
Joaquim Felício,15796,0,639,70,19,72,2950,0
Jordânia,28427,186,2170,213,164,687,4300,0
José Gonçalves de Minas,3562,2,375,123,25,14,3500,0
José Raydan,10213,58,368,202,15,17,3200,0
Josenópolis,2864,0,565,149,12,0,4200,0
Nova União,5501,0,533,21,20,50,1700,0
Juatuba,2493,24,213,0,0,0,250,0
Juiz de Fora,52363,175,2388,3493,58,127,8250,0
Juramento,15196,0,873,120,40,167,1415,0
Juruaia,9899,54,164,485,0,140,7320,0
Juvenília,33816,0,863,281,65,273,5200,0
Ladainha,22316,6,850,586,110,26,24000,0
Lagamar,66555,27,1644,600,47,21,16500,0
Lagoa da Prata,22534,297,715,117,22,25,3600,0
Lagoa dos Patos,20136,0,1039,330,179,44,6100,0
Lagoa Dourada,20174,10,1533,2636,0,0,1400,0
Lagoa Formosa,107267,6,1644,727,39,17,18800,0
Lagoa Grande,66736,0,1211,530,50,231,12600,0
Lagoa Santa,5203,0,872,20,51,86,2000,0
Lajinha,11376,0,389,227,131,43,16000,0
Lambari,8071,0,355,60,45,39,5200,0
