municipios,Abacate,Café (em grão) Total,Maçã,Pêssego,Uva,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado)
Brasil,212873,2683644,1307642,250449,1743430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abadia dos Dourados,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaeté,0,0,0,0,0,0,0,0,1,0,0,22,0,0,7,0,0,1,0,1
Abre Campo,0,3140,0,0,0,0,0,1,1,0,0,3,0,0,3,0,0,1,0,0
Acaiaca,0,3,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0
Açucena,0,10,0,0,0,16,8,7,10,3,0,19,1,3,7,0,0,11,1,1324
Água Boa,0,2150,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,2,0
Água Comprida,0,0,0,0,0,4,1,0,4,2,0,8,0,0,1,0,0,3,0,0
Aguanil,0,1801,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Águas Formosas,0,0,0,0,0,1,2,0,0,5,0,15,0,1,3,0,0,0,0,0
Águas Vermelhas,0,1211,0,0,0,2,0,0,3,49,0,6,0,0,4,0,0,0,0,839
Aimorés,108,2480,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aiuruoca,0,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alagoa,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Albertina,0,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Além Paraíba,0,0,0,0,0,46,26,69,47,6,35,316,0,4,73,4,0,44,19,148
Alfenas,0,14566,0,0,0,104,0,0,39,378,0,30,0,0,0,0,1780,700,0,1490
Alfredo Vasconcelos,3,0,0,117,0,2,1,0,0,5,0,27,0,1,6,0,0,0,0,0
Almenara,0,440,0,0,0,12,0,0,120,0,0,0,0,5,3,0,0,0,0,10
Alpercata,0,0,0,0,0,41,11,0,32,1,0,60,0,0,5,0,0,11,5,0
Alpinópolis,0,7710,0,0,23,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0
Alterosa,0,6867,0,0,3,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0
Alto Caparaó,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto Rio Doce,0,0,0,0,0,0,0,0,2,0,0,9,0,0,3,0,0,0,0,0
Alvarenga,0,525,0,0,0,0,0,0,0,1,0,28,0,0,6,2,0,3,1,0
Alvinópolis,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvorada de Minas,0,5,0,0,0,0,0,0,1,0,0,10,0,0,6,0,0,1,0,268
Amparo do Serra,0,196,0,0,0,382,487,0,0,0,0,645,176,470,126,2,0,22,7,3130
Andradas,0,9950,0,30,300,3,8,14,5,2,0,21,0,4,8,0,0,8,3,5
Cachoeira de Pajeú,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrelândia,0,420,0,0,2,14,6,2,9,11,0,4,0,4,1,0,0,21,0,48
Angelândia,0,2812,0,0,2,63,15,0,19,109,0,3,0,6,1,0,527,1528,0,994
Antônio Carlos,120,0,108,165,7,0,0,0,18,0,0,17,0,0,5,0,0,4,0,36
Antônio Dias,0,1,0,0,0,506,0,0,122,0,0,0,0,0,1,0,0,0,0,0
Antônio Prado de Minas,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araçaí,0,0,0,0,0,7,7,0,1,7,0,16,0,5,6,0,0,3,0,79
Aracitaba,0,0,0,0,0,1039,0,0,1063,943,24,697,0,0,141,4,0,26,19,32456
Araçuaí,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araguari,210,27550,0,0,20,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
Arantina,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araponga,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
Araporã,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,0,0
Arapuá,0,997,0,0,0,6,0,0,44,5,7,326,0,0,42,6,0,25,18,18
Araújos,0,0,0,0,0,9,0,20,13,0,0,34,0,0,5,0,0,23,0,0
Araxá,160,4480,0,0,0,0,0,0,0,0,0,22,0,0,7,0,0,0,0,630
Arceburgo,12,1120,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,0,0
Arcos,0,0,0,0,0,0,0,0,54,0,0,1,0,0,1,0,0,0,0,0
Areado,0,4486,0,0,0,3,4,4,1,4,0,9,0,3,3,0,0,17,0,0
Argirita,0,0,0,0,0,4,0,0,12,5,0,41,0,0,2,0,0,0,0,5
Aricanduva,13,376,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Arinos,0,0,0,0,0,1,1,0,2,0,0,9,0,1,24,0,0,1,0,15
Astolfo Dutra,10,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ataléia,0,54,0,0,0,0,2,0,1,1,0,23,0,0,2,0,0,2,0,0
Augusto de Lima,8,0,0,0,0,414,0,0,202,160,0,30,0,0,2,0,0,0,0,1342
Baependi,0,1427,0,0,0,354,1,2,4,0,0,47,0,0,7,0,0,38,2,11
Baldim,30,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0
Bambuí,0,4200,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Bandeira,0,72,0,0,0,0,1,0,0,0,0,8,0,0,4,0,0,0,0,0
Bandeira do Sul,0,543,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Barão de Cocais,0,2,0,0,0,901,152,39,606,1378,0,546,42,35,222,11,607,5199,2,9042
Barão do Monte Alto,0,0,0,0,0,0,1,3,1,0,0,12,0,1,7,0,0,1,0,1
Barbacena,182,0,770,2960,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barra Longa,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Barroso,0,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,1,0,0
Bela Vista de Minas,0,0,0,0,0,0,1,3,0,0,0,127,0,0,11,1,0,0,5,0
Belmiro Braga,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Belo Horizonte,0,0,0,0,0,0,0,0,22,10,0,10,0,0,5,0,0,0,0,5
Belo Oriente,0,0,0,0,0,3,2,1,0,0,0,11,0,5,8,0,0,3,0,1
Belo Vale,20,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berilo,0,2,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bertópolis,0,0,0,0,0,27,13,25,11,12,73,763,0,11,189,40,0,137,198,150
Berizal,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bias Fortes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
Bicas,0,0,0,0,0,8,2,5,7,0,1,1295,0,3,18,1,0,24,3,1
Biquinhas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Boa Esperança,0,26570,0,0,15,104,25,322,15,35,0,95,0,5,45,2,0,16,5,161
Bocaina de Minas,0,0,0,0,0,63,2,0,51,0,0,22,0,0,5,0,0,10,0,0
Bocaiúva,8,243,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bom Despacho,0,0,0,0,0,0,0,0,4,10,0,2,0,0,0,0,0,0,0,40
Bom Jardim de Minas,0,0,0,0,0,0,0,0,1,0,0,268,0,0,4,0,0,3,0,0
Bom Jesus da Penha,80,4700,0,0,0,1,0,0,1,203,0,4,0,0,1,0,0,0,0,0
Bom Jesus do Amparo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15444,0,0,57
Bom Jesus do Galho,0,1400,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bom Repouso,0,17,0,0,0,35,0,0,26,39,0,0,0,21,0,0,0,0,0,0
Bom Sucesso,0,3655,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Bonfim,140,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,1
Bonfinópolis de Minas,0,1500,0,0,0,21,0,0,4,0,0,123,0,0,14,0,328,15,12,75
Bonito de Minas,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,28
Borda da Mata,0,1016,0,0,0,1,1,1,0,1,0,6,0,1,1,0,0,1,0,18
Botelhos,0,11850,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0
Botumirim,0,12,0,0,0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,2
Brasilândia de Minas,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Brasília de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brás Pires,0,0,0,0,0,3,3,1,1,74,0,6,0,2,16,1,15,2,0,28
Braúnas,0,5,0,0,0,273,8,1965,651,374,154,985,0,1,336,418,0,14,108,241
Brazópolis,0,320,0,0,0,202,0,19,0,0,0,16,219,0,1,0,1887,0,0,6
Brumadinho,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bueno Brandão,28,2400,0,0,16,32,0,0,108,9,0,0,0,0,0,0,0,0,0,1310
Buenópolis,0,0,0,0,0,2,1,0,40,0,0,40,0,0,12,0,0,0,1,26
Bugre,0,0,0,0,0,0,0,0,0,1,0,20,0,0,6,0,0,0,0,3
Buritis,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buritizeiro,0,3300,0,0,20,1,0,0,0,0,0,9,0,0,2,0,0,1,0,0
Cabeceira Grande,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cabo Verde,0,14620,0,0,0,33,0,22,10,486,0,31,0,0,12,0,1402,2,0,184
Cachoeira da Prata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira de Minas,7,1675,0,0,6,21,1,0,1,4,0,67,0,0,7,0,0,2,0,13
Cachoeira Dourada,0,0,0,0,0,1,4,2,1,1,81,530,0,0,70,70,0,3,47,0
Caetanópolis,0,0,0,0,0,0,1,2,1,0,0,2,0,1,0,0,0,0,0,0
Caeté,0,29,0,0,0,2,2,0,13,35,0,6,0,0,12,0,0,16,0,1589
Caiana,0,4782,0,0,0,1423,0,0,0,0,2,43,1955,280,37,0,46,69,0,41
Cajuri,0,900,0,0,0,8,1,0,0,10,0,11,0,0,2,0,0,5,1,90
Caldas,0,1618,0,350,530,58,0,8,23,70,7,98,0,1,31,2,2889,98,4,150
Camacho,0,1985,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,96
Camanducaia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
Cambuí,0,8,0,0,3,0,0,0,4,16,0,13,0,0,1,0,0,0,0,0
Cambuquira,194,4410,0,0,0,121,0,0,0,17,0,40,0,0,15,0,0,0,0,695
Campanário,0,0,0,0,0,9,1,0,13,0,0,56,0,0,5,0,0,1,3,1
Campanha,3,7780,26,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campestre,11,21060,0,70,6,14,3,0,2,0,0,38,0,0,1,0,0,1,0,0
Campina Verde,0,0,0,0,2,61,1,1,1,0,0,13,0,0,2,0,0,1,0,0
Campo Azul,0,0,0,0,0,21,1,0,35,0,0,31,0,1,7,0,0,0,3,0
Campo Belo,0,4620,0,0,0,0,2654,0,0,0,0,0,0,0,0,0,0,0,0,0
Campo do Meio,0,9590,0,0,0,51,4,1,3,2,0,753,0,1,51,0,0,26,1,2780
Campo Florido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Campos Altos,1794,14540,0,0,30,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0
Campos Gerais,230,28085,0,0,10,10,0,0,6,1,0,14,0,0,1,0,0,12,0,273
Canaã,0,3150,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canápolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cana Verde,0,630,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Candeias,0,8004,0,0,0,52,26,36,16,36,0,57,0,10,14,1,1,57,2,2185
Cantagalo,0,0,0,0,0,2,0,0,0,0,0,16,0,0,2,0,0,0,0,0
Caparaó,0,6680,0,0,0,7,9,4,10,7,0,186,0,14,90,9,0,18,62,16
Capela Nova,0,349,0,0,0,0,3,0,5,0,0,135,0,0,7,0,0,5,4,3
Capelinha,0,5100,0,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1
Capetinga,0,7610,0,0,0,9,2,0,0,0,0,14,0,0,3,0,0,0,0,0
Capim Branco,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0
Capinópolis,0,0,0,0,60,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
Capitão Andrade,0,0,0,0,0,7,13,17,2,6,0,24,0,4,11,0,0,14,1,45
Capitão Enéas,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capitólio,0,2961,0,0,0,804,12560,0,108,546,0,51,0,0,6,0,30,6306,0,7638
Caputira,40,3000,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0
Caraí,0,358,0,0,0,115,0,20,186,400,0,291,0,19,234,10,0,204,21,1885
Caranaíba,0,9,0,0,80,2,3,2,0,0,0,20,0,0,4,0,0,1,1,555
Carandaí,25,0,0,0,2,2,0,0,8,0,0,5,0,0,0,0,0,3,0,0
Carangola,0,5060,0,0,0,0,0,0,1,0,0,12,0,0,6,0,0,0,0,0
Caratinga,39,13460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbonita,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Careaçu,0,1972,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Chagas,0,0,0,0,0,2,7,1,13,17,0,410,0,8,47,21,0,21,28,0
Carmésia,0,0,0,0,0,1452,0,0,8,97,0,43,0,0,1,0,0,0,0,2429
Carmo da Cachoeira,5249,17400,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,7,0,189
Carmo da Mata,0,1000,0,0,0,3,0,3,2,0,0,17,0,0,2,0,0,2,2,2
Carmo de Minas,0,5476,0,0,0,157,0,0,21,142,0,2,0,0,0,0,0,0,0,12329
Carmo do Cajuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmo do Paranaíba,9,16470,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Carmo do Rio Claro,0,16745,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,54
Carmópolis de Minas,935,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carneirinho,0,0,0,0,0,0,77,0,0,135,0,0,0,0,0,0,0,1384,0,652
Carrancas,0,47,0,0,0,101,0,0,5,233,0,21,0,0,0,0,0,0,0,2288
Carvalhópolis,0,2485,0,0,0,9,0,0,2,0,0,151,0,0,5,0,0,0,4,0
Carvalhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa Grande,0,34,0,0,0,0,0,0,0,0,0,17,0,0,14,0,0,0,0,0
Cascalho Rico,0,760,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
Cássia,0,7200,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,2,0,2
Conceição da Barra de Minas,0,376,0,0,0,2,2,1,2,3,0,2,0,0,3,0,0,7,0,12
Cataguases,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catas Altas,0,0,0,0,15,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Catas Altas da Noruega,0,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
Catuji,0,33,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Catuti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Caxambu,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedro do Abaeté,0,0,0,0,0,1,1,1,0,0,0,16,0,3,4,0,0,7,0,1
Central de Minas,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centralina,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Chácara,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Chalé,0,2860,0,0,0,18,4,31,22,0,0,22,0,0,5,0,0,14,2,2
Chapada do Norte,0,2,0,0,0,7,0,294,6,27,0,197,0,0,5,0,0,112,0,25
Chapada Gaúcha,0,0,0,0,0,34,2,0,62,90,0,22,0,0,10,0,0,13,0,347
Chiador,0,0,0,0,0,65,16,0,2,190,0,31,0,0,11,0,0,9,0,1726
Cipotânea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claraval,0,3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claro dos Poções,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Cláudio,100,248,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,9,1,0
Coimbra,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624
Coluna,0,4,0,0,0,15,0,0,17,4,0,46,0,3,5,0,0,2,1,1
Comendador Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comercinho,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
Conceição da Aparecida,0,15930,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Conceição das Pedras,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
Conceição das Alagoas,880,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conceição de Ipanema,0,850,0,0,0,1,18,0,0,2,0,22,0,0,5,0,0,1,0,0
Conceição do Mato Dentro,0,16,0,0,0,0,2,0,0,0,0,9,59,0,3,0,1013,2,0,0
Conceição do Pará,0,0,0,0,0,0,0,0,0,0,0,421,0,0,82,0,0,0,0,0
Conceição do Rio Verde,0,4732,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0
Conceição dos Ouros,0,264,0,0,8,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0
Cônego Marinho,0,0,0,0,0,0,0,0,121,0,0,78,0,0,11,0,0,449,0,0
Confins,0,0,0,0,0,0,0,4,0,0,0,13,0,0,11,0,0,0,0,0
Congonhal,0,452,0,0,0,16,0,1,0,0,0,11,0,0,2,0,475,0,0,49
Congonhas,0,14,0,0,0,0,0,0,0,0,0,124,0,0,65,0,0,0,64,0
Congonhas do Norte,0,18,0,0,0,11,1,1,1,0,0,9,0,0,2,0,0,2,1,0
Conquista,0,0,0,0,0,187,0,2,36,337,0,27,0,0,1,0,0,16,0,1271
Conselheiro Lafaiete,0,0,0,0,0,244,0,0,584,17,0,2,0,0,0,0,0,0,0,271
Conselheiro Pena,75,5939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consolação,0,3,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
Contagem,0,0,0,0,0,7,0,0,2,0,0,9,0,0,3,0,0,18,1,8
Coqueiral,0,6270,0,0,0,0,0,0,0,0,0,66,0,0,18,0,0,6,0,0
Coração de Jesus,0,0,0,0,0,1,3,0,2,1,0,11,0,1,4,0,0,1,0,2
Cordisburgo,33,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,0,0,0,0
Cordislândia,0,2520,0,0,0,36,93,0,82,0,0,40,127,0,77,0,0,94,0,0
Corinto,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Coroaci,0,92,0,0,0,14,0,0,0,0,0,5,0,0,3,0,108,0,0,76
Coromandel,0,10630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronel Fabriciano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronel Murta,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Coronel Pacheco,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Coronel Xavier Chaves,0,0,0,0,0,7,1,0,11,0,0,19,0,0,0,0,0,5,0,9
Córrego Danta,0,1930,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12
Córrego do Bom Jesus,0,0,0,0,12,110,282,3,10,12,0,67,0,0,52,8,0,86,1,174
Córrego Fundo,0,25,0,0,0,46,24,5,36,20,0,3,0,13,7,0,0,108,0,515
Córrego Novo,0,50,0,0,0,0,0,0,93,84,0,4,0,21,2,0,0,0,0,145
Couto de Magalhães de Minas,0,0,0,0,0,0,0,4,2,0,0,12,0,0,1,0,0,13,0,0
Crisólita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristais,0,7483,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,1,0,0
Cristália,0,4,0,0,0,63,0,0,131,0,0,17,0,0,7,0,0,0,0,91
Cristiano Otoni,0,0,0,0,0,3,1,0,0,6,0,16,0,0,1,0,966,1,0,1
Cristina,0,1409,0,0,0,13,0,0,4,8,0,2,0,0,0,0,45,22,0,200
Crucilândia,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruzeiro da Fortaleza,0,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruzília,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuparaque,0,138,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0
Curral de Dentro,0,31,0,0,5,8,0,0,19,6,0,0,0,0,29,0,0,0,0,0
Curvelo,0,0,0,0,0,3,5,1,1,1,0,14,0,0,10,0,0,6,2,14
Datas,0,3,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,1
Delfim Moreira,0,0,0,31,10,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Delfinópolis,0,297,0,0,0,0,1,0,1,1,0,15,0,0,4,0,0,0,0,0
Delta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Descoberto,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desterro de Entre Rios,40,312,0,0,0,139,20,18,83,58,20,327,0,1,146,43,4,184,18,117
Desterro do Melo,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Diamantina,0,540,0,0,6,3,10,0,3,0,0,27,0,0,4,0,0,13,3,0
Diogo de Vasconcelos,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0
Dionísio,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divinésia,0,230,0,0,0,5,0,0,22,0,0,2,0,0,0,0,0,0,0,0
Divino,0,9630,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Divino das Laranjeiras,0,4,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0
Divinolândia de Minas,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Divinópolis,0,0,0,0,12,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0
Divisa Alegre,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divisa Nova,0,3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divisópolis,0,745,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Dom Bosco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dom Cavati,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dom Joaquim,0,0,0,0,0,6,0,2,2,0,6,32,0,0,18,2,0,2,3,54
Dom Silvério,0,0,0,0,0,1,0,0,162,0,0,6,0,0,1,0,0,0,0,83
Dom Viçoso,0,407,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0
Dona Euzébia,0,0,0,0,0,0,0,0,31,0,0,10,0,0,15,0,0,0,0,0
Dores de Campos,0,0,0,0,0,42,9,0,10,52,0,12,0,0,2,0,0,38,0,0
Dores de Guanhães,0,0,0,0,0,11,0,0,2,0,0,32,0,0,3,0,0,5,0,1204
Dores do Indaiá,0,0,0,0,0,14,3,17,61,6,5,132,0,0,34,1,0,7,6,59
Dores do Turvo,0,38,0,0,0,7,6,1,13,0,0,10,0,11,17,0,6,4,0,0
Doresópolis,0,207,0,0,0,1,3,0,0,5,0,35,0,4,6,0,0,0,1,25
Douradoquara,0,0,0,0,0,0,0,0,0,0,0,41,9153,0,0,0,5136,0,0,0
Durandé,0,6010,0,0,0,164,5,44,60,331,0,79,0,0,23,0,8237,32,1,443
Elói Mendes,5,10980,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engenheiro Caldas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engenheiro Navarro,0,3,0,0,0,115,0,0,2,94,0,6,0,0,1,0,0,0,0,1233
Entre Folhas,0,343,0,0,0,1,1,2,3,0,0,266,0,1,197,21,0,0,25,0
Entre Rios de Minas,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ervália,60,7800,30,30,0,23,1,0,0,1,0,55,0,0,13,0,0,2,1,54
Esmeraldas,0,91,0,0,0,5,0,6,7,0,0,9,0,0,4,0,0,0,0,0
Espera Feliz,0,11880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espinosa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Espírito Santo do Dourado,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estiva,0,5,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0
Estrela Dalva,0,91,0,0,0,0,0,0,17,0,0,2,0,0,1,0,0,0,0,0
Estrela do Indaiá,0,252,0,0,0,8,0,0,37,21,0,0,0,0,0,0,0,0,0,47
Estrela do Sul,100,5060,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Eugenópolis,0,1533,0,0,0,13,13,1,25,1,0,58,0,0,30,0,0,10,0,25
Ewbank da Câmara,0,0,0,0,0,0,0,0,122,0,0,608,0,0,0,0,0,0,0,39
Extrema,0,4,0,0,0,47,94,9,20,174,0,180,0,11,26,0,0,75,0,1470
Fama,0,1584,0,0,0,6,1,0,0,0,0,2,0,0,1,0,0,4,0,5
Faria Lemos,0,690,0,0,0,2,1,1,4,1,0,8,0,0,1,0,0,6,0,0
Felício dos Santos,0,300,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
São Gonçalo do Rio Preto,0,143,0,0,0,1,1,0,0,1,0,4,0,5,3,0,0,2,0,2
Felisburgo,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
