municipios,Abacate,Café (em grão) Total,Maçã,Pêssego,Uva,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado)
Piedade dos Gerais,4,0,0,0,0,0,1,1,1,0,0,5,0,2,2,0,0,1,0,3
Pimenta,0,1330,0,0,0,8,5,0,0,20,0,26,0,2,7,0,0,1,1,17
Pingo-d'Água,0,0,0,0,0,1,1,0,2,1,0,31,0,0,18,1,0,3,1,12
Pintópolis,0,0,0,0,0,1,0,1,0,0,0,11,0,0,5,0,0,5,0,1
Piracema,0,8,0,0,0,374,32,1,444,3683,21,819,0,39,16,1,38111,221,3,800
Pirajuba,0,0,0,0,0,2,8,1,6,4,0,65,0,1,8,1,0,4,1,6
Piranga,0,875,0,0,0,2,0,0,1,0,0,12,0,0,11,0,0,0,0,0
Piranguçu,0,6,0,0,3,31,0,0,7,0,0,71,0,0,11,0,0,0,0,0
Piranguinho,0,550,0,0,0,2,1,0,0,0,0,53,0,0,7,0,0,1,3,0
Pirapetinga,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirapora,0,1650,0,0,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piraúba,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Pitangui,0,0,0,0,0,0,1,1,37,0,0,22,0,0,2,0,0,40,0,75
Piumhi,0,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planura,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0
Poço Fundo,0,8517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poços de Caldas,0,4680,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocrane,60,1684,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0
Pompéu,0,0,0,0,0,30,7,102,6,26,0,33,0,0,7,0,0,25,0,111
Ponte Nova,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ponto Chique,0,0,0,0,0,0,0,0,0,0,0,45,0,0,30,0,0,0,0,0
Ponto dos Volantes,0,28,0,0,0,0,1,0,3,0,0,31,0,0,16,0,0,7,0,0
Porteirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Porto Firme,0,600,0,0,0,122,0,0,23,181,0,0,0,0,0,0,1042,104,0,1015
Poté,0,43,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Pouso Alegre,0,90,0,25,8,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1
Pouso Alto,0,165,0,0,0,7,62,72,4,0,106,1183,0,0,323,102,0,3,128,0
Prados,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prata,0,3,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,1,0
Pratápolis,0,390,0,100,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0
Pratinha,963,3275,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Presidente Bernardes,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidente Juscelino,100,0,0,0,0,1,1,1,1,0,0,6,0,0,9,0,0,2,0,7
Presidente Kubitschek,0,32,0,0,0,157,0,0,636,227,0,11,0,20,0,0,0,11,0,140
Presidente Olegário,900,7286,0,0,0,0,0,0,0,0,0,22,0,0,12,0,0,0,0,0
Alto Jequitibá,0,7400,0,0,0,0,3547,0,2,0,0,0,0,0,0,0,0,0,0,1142
Prudente de Morais,0,0,0,0,0,11,9,19,4,117,0,30,0,20,9,0,0,4,1,1057
Quartel Geral,0,552,0,0,0,0,4,1,1,0,0,10,0,0,5,0,0,5,0,3
Queluzito,0,0,0,0,0,0,3,0,1,0,0,13,0,0,2,0,0,1,0,0
Raposos,0,4,0,0,0,1,0,4,1,0,0,4,0,0,1,0,0,0,0,0
Raul Soares,14,3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recreio,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reduto,0,4590,0,0,0,14,0,0,135,100,0,1,0,0,0,0,0,0,0,44
Resende Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resplendor,72,673,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Ressaquinha,12,0,5,96,0,3,2,0,0,0,0,4,0,0,2,0,0,0,0,270
Riachinho,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Riacho dos Machados,0,0,0,0,0,8,7,10,9,16,3,47,0,0,52,3,0,15,10,110
Ribeirão das Neves,0,0,0,0,0,1,1,19,3,1,0,12,0,1,5,0,0,1,0,116
Ribeirão Vermelho,0,116,0,0,0,11,0,0,21,0,0,2,0,0,1,0,0,0,0,3367
Rio Acima,0,0,0,0,0,4,12,0,0,826,0,32,0,11,27,1,0,4,1,979
Rio Casca,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Doce,0,0,0,0,0,1,2,1,0,0,0,26,0,0,7,1,0,3,1,5
Rio do Prado,0,0,0,0,0,110,3,3298,27,125,0,2,0,0,2,0,0,192,0,1124
