municipios,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado) (Toneladas)
Itanhandu,0,9,4,0,0,0,47,0,0,2,0,0,2,1,0
Itanhomi,1,0,0,2,0,0,8,0,2,9,0,0,0,0,1
Itaobim,1,1,0,1,2,0,15,0,3,14,0,0,0,0,2
Itapagipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itapecerica,39,4,1,12,47,0,31,0,0,3,1,0,20,0,57
Itapeva,6,0,0,0,0,0,10,0,0,4,0,479,0,0,0
Itatiaiuçu,193,0,1511,130,228,0,17,0,0,38,0,0,0,0,277
Itaú de Minas,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0
Itaúna,24,1,0,17,0,0,283,0,0,5,0,0,0,0,0
Itaverava,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0
Itinga,3,3,1,0,2,0,15,0,2,5,0,0,4,0,6
Itueta,2,0,0,0,0,0,1,0,0,2,0,0,0,0,15
Ituiutaba,49,5,1,42,5,26,246,0,0,73,4,0,14,15,4
Itumirim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iturama,2,0,0,2,0,0,47,0,0,20,0,0,0,14,0
Itutinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaboticatubas,123,1,0,73,111,0,145,0,0,6,0,0,0,0,245
Jacinto,0,0,0,0,0,0,239,0,0,1,0,0,0,0,0
Jacuí,0,0,0,0,0,0,7,0,0,1,0,0,10,0,0
Jacutinga,4,0,0,0,0,0,25,0,0,11,0,0,0,6,708
Jaguaraçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaíba,11,0,0,0,23,0,94,0,804,7,0,0,0,0,64
Jampruca,0,0,0,0,0,0,6,0,0,4,0,0,0,0,1
Janaúba,25,39,0,7,2,0,84,0,0,32,0,0,0,3,48
Januária,1,1,0,0,1,0,42,0,0,8,0,0,0,3,0
Japaraíba,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japonvar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jeceaba,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jenipapo de Minas,1,1,0,0,0,0,2,0,0,2,0,0,15,0,1
Jequeri,0,0,0,0,0,0,26,0,0,19,0,0,0,0,0
Jequitaí,1,4,0,0,1,0,171,0,0,4,0,0,1,1,1
Jequitibá,436,0,0,88,156,0,16,0,0,0,0,0,0,0,1662
Jequitinhonha,18,6,2,0,4,0,33,0,3,17,0,0,0,1,11
Jesuânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joaíma,0,0,0,0,0,0,8,0,0,1,0,0,0,0,5
Joanésia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
João Monlevade,2,9,6,20,0,1,126,0,0,17,2,0,10,3,3
João Pinheiro,4,8,2,17,7,0,61,0,3,20,0,0,12,0,23
Joaquim Felício,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0
Jordânia,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
José Gonçalves de Minas,3,0,3,0,0,0,3,0,1,1,0,0,1,0,4
José Raydan,3,1,1,5,1,0,4,0,0,1,0,0,1,0,750
Josenópolis,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Nova União,0,1,0,0,0,0,8,0,0,3,0,0,0,0,0
Juatuba,0,0,0,0,0,0,222,0,0,270,0,0,0,0,0
Juiz de Fora,19,7,25,13,5,6,804,0,7,451,40,0,28,21,42
Juramento,24,1,2,7,3,0,5,0,0,8,0,0,1,0,13
Juruaia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenília,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0
Ladainha,6,8,15,4,9,0,26,0,3,19,0,0,24,0,14
Lagamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagoa da Prata,61,0,0,21,0,0,65,0,0,3,0,0,3,0,0
Lagoa dos Patos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagoa Dourada,478,989,0,0,380,0,12,0,0,58,0,0,4088,0,9232
Lagoa Formosa,232,0,102,100,85,0,131,0,0,32,0,0,256,0,5229
Lagoa Grande,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Lagoa Santa,0,0,0,0,0,0,33,0,0,19,0,0,0,3,9
Lajinha,0,0,0,0,0,0,10,0,0,3,0,0,0,0,299
Lambari,0,0,0,3,0,0,19,0,0,6,0,0,10,0,0
Lamim,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0
Laranjal,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0
Lassance,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0
Lavras,9,1,1,10,0,11,135,29,5,27,1,0,41,1,35
Leandro Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leme do Prado,0,0,1,0,2,0,7,0,0,1,0,0,3,0,6
Leopoldina,0,0,0,16,3,0,2,0,0,3,0,0,0,0,0
Liberdade,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0
Lima Duarte,1,2,6,1,0,1,52,0,3,17,1,0,7,2,0
Limeira do Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lontra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luisburgo,0,0,0,0,0,0,14,0,0,8,0,0,2,0,0
Luislândia,1,0,0,0,2,0,36,0,0,9,0,0,0,0,1
Luminárias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luz,23,0,0,94,0,0,44,0,0,7,0,0,4,0,0
Machacalis,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Machado,57,8,4,19,25,0,55,295,119,21,2,0,20,1,312
Madre de Deus de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malacacheta,5,8,7,11,11,0,51,0,9,11,0,0,32,1,154
Mamonas,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Manga,5,1,0,1,1,0,24,0,600,2,0,0,0,0,4
Manhuaçu,22,7,969,21,220,0,62,0,13,41,5,0,347,0,425
Manhumirim,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0
Mantena,1,0,1,4,0,0,21,1,0,8,0,0,0,0,16
Maravilhas,37,3,0,0,0,0,12,0,0,1,0,0,0,0,3241
Mar de Espanha,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0
Maria da Fé,91,14,50,8,56,0,145,0,5,41,4,0,529,5,357
Mariana,2,4,11,4,0,0,47,0,1,26,2,0,5,3,3
Marilac,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0
Mário Campos,6,3,3056,30,1,111,2327,0,0,517,173,0,6,207,1
Maripá de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marliéria,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Marmelópolis,151,0,0,16,15,0,0,0,0,0,0,0,123,0,440
Martinho Campos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martins Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mata Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Materlândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateus Leme,698,2,208,396,1064,0,62,0,0,10,1,0,42,0,849
Matias Barbosa,3,0,0,1,0,0,4,0,0,2,0,0,0,0,0
Matias Cardoso,5,1,0,2,231,0,16,0,0,10,0,0,0,0,9
Matipó,0,3,0,3,2,2,21,0,0,10,0,0,0,0,30
Mato Verde,0,7,0,0,9,0,7,0,24,2,0,0,0,0,0
Matozinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matutina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medeiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medina,1,5,2,1,0,0,20,0,0,3,0,0,1,0,181
Mendes Pimentel,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
Mercês,7,3,0,0,0,0,38,0,0,11,0,0,2,0,0
Mesquita,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Minas Novas,36,33,5,6,9,0,55,0,6,18,1,0,42,2,82
Minduri,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mirabela,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3
Miradouro,3,1,2,7,2,0,9,0,3,4,0,3,3,0,0
Miraí,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Miravânia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Moeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moema,2,0,0,1,0,0,14,0,0,3,0,0,0,0,0
Monsenhor Paulo,0,2,0,22,0,0,226,0,0,2,0,0,1,2,0
Montalvânia,21,1,0,0,154,0,19,0,0,2,0,0,0,1,3
Monte Alegre de Minas,39,0,0,12,0,0,55,0,0,7,0,0,0,0,0
Monte Azul,3,3,2,0,3,0,20,0,2,0,0,0,0,2,27
Monte Belo,4,8,6,3,0,0,26,0,0,3,0,0,12,1,7
Monte Carmelo,10,0,0,9,0,0,127,0,0,8,0,0,5,0,12304
Monte Formoso,0,1,1,0,0,0,2,0,2,1,0,0,0,0,1
Monte Santo de Minas,2,0,0,3,0,1,43,0,0,3,0,0,2,3,0
Montes Claros,386,43,1628,170,1322,8,562,3,20,314,6,5,134,24,405
Monte Sião,2,3,0,0,0,0,21,0,0,14,0,0,8,1,0
Montezuma,1,1,1,0,0,0,3,0,0,0,0,0,0,0,1
Morada Nova de Minas,1,1,0,0,0,0,26,0,0,1,0,0,1,0,0
Morro da Garça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munhoz,7,0,0,0,8,0,16,0,0,19,0,799,104,0,482
Muriaé,31,0,1,62,15,0,189,0,0,116,0,0,0,0,5
Mutum,11,1,0,2,35,0,8,0,1,26,0,0,70,0,1087
Muzambinho,0,0,0,0,0,0,44,0,0,19,0,0,0,1,0
Nacip Raydan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanuque,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Naque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natércia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nazareno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepomuceno,2,1,1,38,0,0,64,0,0,10,0,0,85,0,6
Ninheira,0,0,0,0,0,0,22,0,0,1,0,0,0,1,5
Nova Belém,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Nova Era,1,0,0,0,0,0,10,0,0,5,0,0,0,0,0
Nova Lima,0,2,0,0,0,0,8,0,0,3,1,0,0,1,0
Nova Módica,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0
Nova Ponte,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0
Nova Porteirinha,4,1,0,0,0,0,30,0,0,2,0,0,0,0,2
Nova Resende,0,0,0,0,0,0,24,0,0,1,0,0,1,0,0
Nova Serrana,0,0,0,2,0,0,3,0,0,3,0,0,1,0,0
Novo Cruzeiro,6,5,6,3,4,0,45,0,5,9,0,0,75,0,5
Novo Oriente de Minas,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Novorizonte,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0
Olaria,0,1,0,0,0,0,1,0,1,4,0,0,6,0,0
Olhos-d'Água,121,4,1,1,8,0,11,0,1,4,0,0,2,0,629
Olímpio Noronha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira,7,4,2,5,3,4,61,0,1,28,3,0,13,4,2905
Oliveira Fortes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onça de Pitangui,676,0,0,75,362,0,0,0,0,0,0,0,0,0,3556
Oratórios,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Orizânia,0,3,0,5,0,0,6,0,0,5,0,0,0,0,0
Ouro Branco,12,1,2,0,5,0,86,451,0,34,1,0,251,1,103
Ouro Fino,9,3,0,1,0,2,98,0,0,4,1,0,24,3,110
Ouro Preto,6,6,4,5,5,3,334,0,5,108,5,4,6,9,225
Ouro Verde de Minas,2,0,0,0,0,0,1,0,0,1,0,0,2,0,9
Padre Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Padre Paraíso,5,8,9,1,1,0,12,0,0,4,0,0,8,0,0
Paineiras,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Pains,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pai Pedro,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Paiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papagaios,1,0,0,1,0,0,7,0,0,2,0,0,3,0,30
Paracatu,21,1,0,11,0,0,32,0,0,10,0,0,4,1,4
Pará de Minas,291,3,0,6,234,5,192,0,0,21,1,0,1,2,1480
Paraguaçu,21,8,2,20,1,5,224,0,0,12,1,0,87,3,153
Paraisópolis,9,12,5,3,29,0,67,0,15,6,0,398,27,1,426
Paraopeba,151,0,0,354,83,0,104,0,0,14,1,0,1,2,19
Passa Quatro,6,1,0,2,4,0,18,0,0,1,0,0,40,0,12
Passa Tempo,96,22,0,12,237,0,51,0,0,83,0,0,26,0,13546
Passa Vinte,0,0,0,0,0,0,13,0,0,1,0,0,25,0,0
Passos,49,14,24,10,8,4,330,0,0,83,7,0,23,34,40
Patis,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Patos de Minas,186,27,76,90,54,18,163,0,2544,39,29,0,247,35,162
Patrocínio,79,0,229,141,345,32,217,0,1382,20,0,0,1441,0,3328
Patrocínio do Muriaé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paula Cândido,0,1,2,2,16,0,14,0,0,14,0,0,12,0,1636
Paulistas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavão,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0
Peçanha,2,2,4,2,1,0,16,0,3,5,0,0,4,0,2
Pedra Azul,5,3,2,0,0,0,32,0,0,3,0,0,4,1,0
Pedra Bonita,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Pedra do Anta,6,1,2,1,0,0,5,0,0,6,0,0,1,0,30
Pedra do Indaiá,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0
Pedra Dourada,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0
Pedralva,167,8,928,18,42,0,13,0,0,7,0,0,123,0,480
Pedras de Maria da Cruz,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0
Pedrinópolis,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Pedro Leopoldo,0,19,0,16,0,0,143,0,0,131,0,0,0,0,29
Pedro Teixeira,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Pequi,82,3,0,0,222,0,6,0,0,2,0,0,3,0,1430
Perdigão,13,2,0,5,1,0,44,0,0,66,1,0,3,1,0
Perdizes,0,0,0,2,0,0,155,0,0,0,0,0,4,0,0
Perdões,0,2,0,2,0,0,41,0,1,13,5,0,14,1,0
Periquito,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Pescador,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Piau,19,0,0,14,0,0,37,0,0,3,0,0,0,0,0
Piedade de Caratinga,302,67,433,98,239,39,3149,0,303,1109,64,0,2228,47,2506
Piedade de Ponte Nova,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Piedade do Rio Grande,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Piedade dos Gerais,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
Pimenta,42,0,0,0,706,0,24,0,0,0,0,0,0,0,4937
Pintópolis,1,1,0,0,0,0,3,0,0,0,0,0,0,0,5
Piracema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Pirajuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piranga,1,2,3,5,1,0,11,0,1,5,0,0,3,0,7
Piranguçu,0,0,0,0,0,0,44,0,0,17,0,0,0,0,0
Piranguinho,23,1,2,0,0,0,219,0,0,3,1,0,0,1,474
Pirapora,114,0,0,3,0,0,49,0,0,15,0,0,0,4,4
Piraúba,362,0,0,306,89,0,0,0,0,0,0,0,0,0,548
Pitangui,0,0,0,2,0,0,18,0,0,2,0,0,0,0,242
Piumhi,30,0,0,0,55,0,12,0,0,1,0,0,0,0,710
Planura,0,0,0,0,42,0,2,0,0,0,0,0,0,0,0
Poço Fundo,0,3,0,4,5,0,39,448,0,2,0,0,3,0,143
Poços de Caldas,67,33,0,56,20,13,175,0,0,43,10,0,8,20,194
Pocrane,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Pompéu,14,7,3,19,8,4,40,0,1,2,0,0,8,0,95
Ponte Nova,40,2,1,42,23,0,51,0,0,32,7,0,3,2,11
Ponto dos Volantes,0,1,1,1,0,0,5,0,2,2,0,0,1,0,3
Porteirinha,8,5,0,0,20,0,26,0,2,7,0,0,1,1,17
Porto Firme,1,1,0,2,1,0,31,0,0,18,1,0,3,1,12
Poté,1,0,1,0,0,0,11,0,0,5,0,0,5,0,1
Pouso Alegre,374,32,1,444,3683,21,819,0,39,16,1,38111,221,3,800
Pouso Alto,2,8,1,6,4,0,65,0,1,8,1,0,4,1,6
Prados,2,0,0,1,0,0,12,0,0,11,0,0,0,0,0
Prata,31,0,0,7,0,0,71,0,0,11,0,0,0,0,0
Pratápolis,2,1,0,0,0,0,53,0,0,7,0,0,1,3,0
Pratinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidente Bernardes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidente Kubitschek,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Presidente Olegário,0,1,1,37,0,0,22,0,0,2,0,0,40,0,75
Alto Jequitibá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prudente de Morais,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0
Quartel Geral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queluzito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raposos,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0
Raul Soares,30,7,102,6,26,0,33,0,0,7,0,0,25,0,111
Recreio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reduto,0,0,0,0,0,0,45,0,0,30,0,0,0,0,0
Resende Costa,0,1,0,3,0,0,31,0,0,16,0,0,7,0,0
Resplendor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ressaquinha,122,0,0,23,181,0,0,0,0,0,0,1042,104,0,1015
Riachinho,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Riacho dos Machados,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1
Ribeirão das Neves,7,62,72,4,0,106,1183,0,0,323,102,0,3,128,0
Ribeirão Vermelho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Acima,0,0,0,0,0,0,10,0,0,3,0,0,0,1,0
Rio Casca,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0
Rio Doce,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Rio do Prado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Espera,1,1,1,1,0,0,6,0,0,9,0,0,2,0,7
Rio Manso,157,0,0,636,227,0,11,0,20,0,0,0,11,0,140
Rio Novo,0,0,0,0,0,0,22,0,0,12,0,0,0,0,0
Rio Paranaíba,0,3547,0,2,0,0,0,0,0,0,0,0,0,0,1142
Rio Pardo de Minas,11,9,19,4,117,0,30,0,20,9,0,0,4,1,1057
Rio Piracicaba,0,4,1,1,0,0,10,0,0,5,0,0,5,0,3
Rio Pomba,0,3,0,1,0,0,13,0,0,2,0,0,1,0,0
Rio Preto,1,0,4,1,0,0,4,0,0,1,0,0,0,0,0
Rio Vermelho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ritápolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodeiro,14,0,0,135,100,0,1,0,0,0,0,0,0,0,44
Romaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosário da Limeira,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Rubelita,3,2,0,0,0,0,4,0,0,2,0,0,0,0,270
Rubim,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sabará,8,7,10,9,16,3,47,0,0,52,3,0,15,10,110
Sabinópolis,1,1,19,3,1,0,12,0,1,5,0,0,1,0,116
Sacramento,11,0,0,21,0,0,2,0,0,1,0,0,0,0,3367
Salinas,4,12,0,0,826,0,32,0,11,27,1,0,4,1,979
Salto da Divisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara,1,2,1,0,0,0,26,0,0,7,1,0,3,1,5
Santa Bárbara do Leste,110,3,3298,27,125,0,2,0,0,2,0,0,192,0,1124
Santa Bárbara do Monte Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Tugúrio,6,1,0,2,99,0,1,0,0,2,0,10,0,0,31
Santa Cruz de Salinas,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Santa Cruz do Escalvado,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Santa Efigênia de Minas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Santa Fé de Minas,1,0,0,1,0,0,3,0,0,0,0,0,0,0,6
Santa Helena de Minas,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Santa Juliana,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
Santa Luzia,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
Santa Margarida,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
Santa Maria de Itabira,0,0,1,0,0,0,3,0,0,2,0,0,0,0,1
Santa Maria do Salto,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Santa Maria do Suaçuí,8,3,2,3,1,0,28,0,0,9,0,0,4,0,4
Santana da Vargem,3,0,0,1,0,0,1509,0,0,0,0,0,4,0,0
Santana de Cataguases,5,0,0,6,0,0,1,0,1,0,0,0,0,0,0
Santana de Pirapama,353,0,0,150,23,0,6,0,0,3,0,0,0,0,439
Santana do Deserto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Garambéu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Manhuaçu,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Santana do Paraíso,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0
Santana do Riacho,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0
Santa Rita de Caldas,4424,0,147,0,0,0,7,1910,0,0,0,0,0,0,0
Santa Rita de Jacutinga,9,0,1,8,0,0,3,0,1,7,0,0,1,0,0
Santa Rita de Minas,18,0,0,5,19,0,16,0,0,10,0,0,0,0,132
Santa Rita de Ibitipoca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rita do Itueto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rita do Sapucaí,0,0,1,0,0,0,26,0,0,3,0,53,0,4,0
Santa Rosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Vitória,1,0,0,6,0,0,81,0,0,13,0,0,0,1,0
Santo Antônio do Amparo,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Santo Antônio do Aventureiro,0,0,0,125,0,0,0,0,0,0,0,0,0,0,76
Santo Antônio do Grama,4,0,0,16,0,0,3,0,0,1,0,0,0,0,0
Santo Antônio do Itambé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Jacinto,1,1,3,1,1,0,6,0,1,2,0,0,0,0,1
Santo Antônio do Monte,3,4,0,3,0,0,84,0,0,57,0,0,4,0,45
Santo Antônio do Retiro,1,14,6,3,23,0,25,0,9,6,0,0,6,0,59
Santo Hipólito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santos Dumont,0,0,0,4,0,0,74,0,0,22,1,8,6,0,0
São Bento Abade,0,0,0,0,0,0,9,0,0,0,0,0,22,0,0
São Brás do Suaçuí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Domingos das Dores,0,0,0,0,0,0,47,0,0,1,0,0,0,0,52
São Domingos do Prata,0,2,5,6,40,15,153,0,0,44,1,0,52,2,80
São Félix de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Francisco,7,6,0,0,0,0,11,0,0,5,0,0,0,4,0
São Francisco de Paula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Francisco do Glória,0,12,0,11,0,0,15,0,0,8,0,0,0,0,0
São Geraldo,0,1,0,2,19,0,12,0,0,3,0,0,0,0,752
São Geraldo da Piedade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Geraldo do Baixio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Gonçalo do Abaeté,1,0,0,2,0,0,3,0,0,5,0,0,0,0,0
São Gonçalo do Pará,2,18,2,5,2,8,98,0,3,15,5,0,17,4,1
São Gonçalo do Rio Abaixo,2,3,0,4,0,3,97,0,0,17,1,0,3,2,0
São Gonçalo do Sapucaí,296,0,0,31,47,1,30,0,0,6,1,346,30,1,3093
São Gotardo,5,1272,15,13,2,124,34,0,0,3,0,0,3630,1,245
São João Batista do Glória,1,0,0,1,0,0,76,0,0,5,1,0,2,2,0
São João da Lagoa,0,0,0,0,4,0,2,0,0,0,0,0,0,0,46
São João da Mata,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
São João da Ponte,2,1,0,0,1,0,4,0,0,3,0,0,1,0,3
São João das Missões,0,2,0,0,2,0,2,0,0,0,0,0,0,0,3
São João del Rei,0,65,0,10,66,0,129,0,0,31,0,0,22,0,94
São João do Manhuaçu,0,0,0,1,9,0,5,0,0,2,0,0,0,0,394
São João do Manteninha,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
São João do Oriente,40,0,0,1930,0,0,0,0,0,0,0,0,0,0,0
São João do Pacuí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João do Paraíso,2,6,2,0,0,0,22,0,0,6,0,0,4,0,4
São João Evangelista,1,7,2,6,0,0,14,0,0,11,1,0,68,0,4
São João Nepomuceno,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0
São Joaquim de Bicas,592,0,1291,0,84,47,1240,0,0,2702,27,0,0,22,357
São José da Barra,1,12,1,2,0,0,10,0,0,6,0,0,2,0,0
São José da Lapa,0,0,0,0,0,0,7,0,0,17,0,0,0,6,0
São José da Safira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
São José da Varginha,0,0,0,0,155,0,0,0,0,0,0,0,0,0,5496
São José do Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São José do Divino,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
São José do Goiabal,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
São José do Jacuri,8,2,13,2,0,0,14,0,0,14,1,0,1,1,295
São José do Mantimento,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
São Lourenço,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Miguel do Anta,16,0,0,13,41,0,13,0,0,10,0,0,9,0,424
São Pedro da União,2,1,0,2,0,0,10,0,0,1,0,0,0,0,0
São Pedro dos Ferros,1,2,0,1,0,0,15,0,0,6,0,0,0,0,0
